miRNA,Target gene
hsa-miR-30,GNAI2
hsa-miR-30,NCL
hsa-miR-30,MPDU1
hsa-miR-30,ATP2A2
hsa-miR-30,IDH1
hsa-miR-30,KRT85
hsa-miR-30,SEC62
hsa-miR-30,PPP3R1
hsa-miR-30,LRRC8C
hsa-miR-30,SLC4A10
hsa-miR-30,STX7
hsa-miR-30,NUCB1
hsa-miR-30,SLC7A11
hsa-miR-30,ANPEP
hsa-miR-30,GALNT1
hsa-miR-30,HNRNPM
hsa-miR-30,PAFAH1B2
hsa-miR-30,vimentin
hsa-miR-30,snail1
hsa-miR-301-a,ERalpha
hsa-miR-302,cyclinD1
hsa-miR-34,NOTCH1
hsa-miR-34,DLL1
hsa-miR-34,VAMP2
hsa-miR-369-5p,FABP4
hsa-miR-369-5p,DNMT3A
hsa-miR-369-5p,DNMT3B
hsa-miR-376a-5p,ALK7
hsa-miR-412,ALK7
hsa-miR-449,MYCN
hsa-miR-449b-5p,CDK4
hsa-miR-449b-5p,CDK6
hsa-miR-449b-5p,CDC25A
hsa-miR-491,Bcl-xL
hsa-miR-504,BAX
hsa-miR-504,MDM2
hsa-miR-504,FAS
hsa-miR-504,PUMA
hsa-miR-504,p21
hsa-miR-504,GADD45
hsa-miR-504,p53
hsa-miR-504,PIG3
hsa-miR-508,p53
hsa-miR-519,HuR
hsa-miR-519c,ABCG2
hsa-miR-548b-3p,FRS2
hsa-miR-548b-3p,TMEM167A
hsa-miR-548b-3p,PRC1
hsa-miR-548b-3p,TST
hsa-miR-548b-3p,CD46
hsa-miR-548b-3p,NBEA
hsa-miR-548b-3p,KCTD20
hsa-miR-548b-3p,ZNF238
hsa-miR-548b-3p,AKAP11
hsa-miR-548b-3p,SLC25A44
hsa-miR-548b-3p,RER1
hsa-miR-548b-3p,ZBTB39
hsa-miR-548b-3p,KIAA0317
hsa-miR-548b-3p,ZNF295
hsa-miR-548b-3p,TET3
hsa-miR-548b-3p,TLE4
hsa-miR-548b-3p,SATB1
hsa-miR-548b-3p,C1orf124
hsa-miR-548d-3p,ERBB2
hsa-miR-548p,ERalpha
hsa-miR-590-3p,NUFIP2
hsa-miR-590-3p,EXOC5
hsa-miR-590-3p,FOXG1B
hsa-miR-590-3p,SBDS
hsa-miR-590-3p,RDH11
hsa-miR-590-3p,QTRTD1
hsa-miR-590-3p,GATAD2B
hsa-miR-590-3p,RBM12B
hsa-miR-590-3p,PLEKHA1
hsa-miR-590-3p,TMX3
hsa-miR-590-3p,PRKAR2B
hsa-miR-590-3p,CBX1
hsa-miR-590-3p,PARP16
hsa-miR-590-3p,SERTAD4
hsa-miR-590-3p,NARG1
hsa-miR-590-3p,SKI
hsa-miR-590-3p,NEDD4
hsa-miR-590-3p,ATXN1
hsa-miR-590-3p,SUV420H1
hsa-miR-590-3p,PAPD4
hsa-miR-590-3p,GFPT1
hsa-miR-590-3p,CDC2
hsa-miR-590-3p,REEP3
hsa-miR-590-3p,CSNK1D
hsa-miR-590-3p,FBXW7
hsa-miR-590-3p,NRIP1
hsa-miR-590-3p,LIMS1
hsa-miR-590-3p,C19orf6
hsa-miR-590-3p,FAM49B
hsa-miR-590-3p,ID4
hsa-miR-590-3p,KIAA0494
hsa-miR-590-3p,IL6ST
hsa-miR-590-3p,C18orf19
hsa-miR-590-3p,SESN3
hsa-miR-590-3p,C4orf15
hsa-miR-590-3p,UBXN2A
hsa-miR-590-3p,STCH
hsa-miR-590-3p,CMPK1
hsa-miR-590-3p,MYST4
hsa-miR-590-3p,PGAP1
hsa-miR-590-3p,CHAF1A
hsa-miR-590-3p,SGCB
hsa-miR-590-3p,DHX57
hsa-miR-590-3p,KCTD20
hsa-miR-590-3p,MTF1
hsa-miR-590-3p,SETD7
hsa-miR-590-3p,SPATS2
hsa-miR-590-3p,NAT12
hsa-miR-590-3p,USP6NL
hsa-miR-590-3p,HIPK1
hsa-miR-590-3p,ATP13A3
hsa-miR-590-3p,NEO1
hsa-miR-590-3p,CSTF1
hsa-miR-590-3p,CITED2
hsa-miR-590-3p,TERF2IP
hsa-miR-590-3p,TMEM123
hsa-miR-590-3p,MIER3
hsa-miR-590-3p,VPS35
hsa-miR-590-3p,MRPL19
hsa-miR-590-3p,MED13L
hsa-miR-590-3p,PPP2R5A
hsa-miR-590-3p,FAM108B1
hsa-miR-590-3p,PDIK1L
hsa-miR-590-3p,IPPK
hsa-miR-590-3p,SNORA25
hsa-miR-590-3p,NCOA3
hsa-miR-590-3p,KHSRP
hsa-miR-590-3p,NR3C1
hsa-miR-590-3p,ANGEL2
hsa-miR-590-3p,NDUFB5
hsa-miR-590-3p,GPATCH8
hsa-miR-590-3p,ZNF238
hsa-miR-590-3p,PNN
hsa-miR-590-3p,ERalpha
hsa-miR-615-3p,UBR3
hsa-miR-615-3p,PBX3
hsa-miR-615-3p,TRIP10
hsa-miR-615-3p,KIF14
hsa-miR-615-3p,DIXDC1
hsa-miR-615-3p,KLHDC5
hsa-miR-615-3p,C19orf54
hsa-miR-615-3p,CDC37
hsa-miR-615-3p,ENAH
hsa-miR-615-3p,BVES
hsa-miR630,BAX
hsa-miR630,PUMA
hsa-miR630,p21
hsa-miR630,p27
hsa-miR630,p-p53(Ser46)
hsa-miR630,p-p53(Ser15)
hsa-miR630,p53
hsa-miR-885-3p,ERalpha
hsa-miR-92,p63
hsa-miR-92-1,ERC2
hsa-miR-92-1,RAB14
hsa-miR-92-1,UPG2
hsa-miR-92-2,Hipk3
hsa-miR-92-2,Mylip
hsa-miR-92-2,ARID4B
hsa-miR92b,p57
hsa-miR-934,ERalpha
hsa-let-7c-5p,MYC
hsa-let-7c-5p,TRIM71
hsa-let-7c-5p,HMGA2
hsa-let-7c-5p,DICER1
hsa-let-7c-5p,TGFBR1
hsa-let-7c-5p,BCL2L1
hsa-let-7c-5p,NRAS
hsa-let-7c-5p,MPL
hsa-let-7c-5p,COPS8
hsa-let-7c-5p,GPS1
hsa-let-7c-5p,COPS6
hsa-let-7c-5p,IGF1R
hsa-let-7c-5p,ITGB3
hsa-let-7c-5p,MAP4K3
hsa-let-7c-5p,IL10
hsa-let-7c-5p,IL6
hsa-let-7c-5p,PBX2
hsa-let-7c-5p,TNFRSF10B
hsa-let-7c-5p,TRIB2
hsa-let-7c-5p,MTOR
hsa-let-7c-5p,RICTOR
hsa-let-7c-5p,CEBPB
hsa-let-7c-5p,AGO1
hsa-let-7e-3p,COPS8
hsa-let-7e-3p,GPS1
hsa-let-7e-3p,COPS6
hsa-miR-101-5p,PRKDC
hsa-miR-101-5p,ATM
hsa-miR-1180-3p,TCEAL1
hsa-miR-1181,STAT3
hsa-miR-1181,SOX2
hsa-miR-1182,TERT
hsa-miR-1202,GRM4
hsa-miR-1207-5p,TERT
hsa-miR-1226-3p,MUC1
hsa-miR-1234-3p,STAT3
hsa-miR-1236-3p,KDR
hsa-miR-1236-3p,FLT4
hsa-miR-1236-3p,ZEB1
hsa-miR-1236-3p,TCEAL1
hsa-miR-1245a,BRCA2
hsa-miR-1247-5p,SOX9
hsa-miR-1256,ICAM1
hsa-miR-1256,SELE
hsa-miR-1256,TRIM68
hsa-miR-1258,HPSE
hsa-miR-1258,MRGPRF
hsa-miR-1260b,SFRP1
hsa-miR-1260b,DKK2
hsa-miR-1260b,SMAD4
hsa-miR-1266-5p,TERT
hsa-miR-1270,FXN
hsa-miR-1274a,FOXO4
hsa-miR-1280,ROCK1
hsa-miR-128-3p,E2F3
hsa-miR-128-3p,RELN
hsa-miR-128-3p,DCX
hsa-miR-128-3p,TGFBR1
hsa-miR-128-3p,BMI1
hsa-miR-128-3p,FBXW7
hsa-miR-128-3p,NTRK3
hsa-miR-128-3p,WEE1
hsa-miR-128-3p,SIRT1
hsa-miR-128-3p,SOX2
hsa-miR-128-3p,KLF4
hsa-miR-128-3p,POU5F1
hsa-miR-128-3p,CTDSP1
hsa-miR-128-3p,EGFR
hsa-miR-128-3p,CSF1
hsa-miR-128-3p,PTEN
hsa-miR-128-3p,SUZ12
hsa-miR-128-3p,LIN28A
hsa-miR-128-3p,NANOG
hsa-miR-128-3p,SNAI2
hsa-miR-128-3p,SREBF1
hsa-miR-128-3p,SREBF2
hsa-miR-128-3p,ABCA1
hsa-miR-128-3p,ABCG1
hsa-miR-128-3p,RXRA
hsa-miR-128-3p,NEK2
hsa-miR-128-3p,FADD
hsa-miR-128-3p,VEGFC
hsa-miR-128-3p,ISL1
hsa-miR-128-3p,MAPK14
hsa-miR-128-3p,RET
hsa-miR-128-3p,EPHB2
hsa-miR-128-3p,EPHB1
hsa-miR-128-3p,BAX
hsa-miR-1289,ATP4A
hsa-miR-128b,EGFR
hsa-miR-128b,KMT2A
hsa-miR-128b,AFF1
hsa-miR-128b,CDKN1B
hsa-miR-1291,ERN1
hsa-miR-1291,ABCC1
hsa-miR-1291,SLC2A1
hsa-miR-129-2-3p,SOX4
hsa-miR-129-2-3p,UBE2F
hsa-miR-129-2-3p,CCP110
hsa-miR-129-2-3p,CDK6
hsa-miR-1292-5p,SOX4
hsa-miR-1293,TIMP1
hsa-miR-1296-5p,MCM2
hsa-miR-1297,TRIB2
hsa-miR-1303,CLDN18
hsa-miR-133a-3p,CASP9
hsa-miR-133a-3p,HCN2
hsa-miR-133a-3p,CACNA1C
hsa-miR-133a-3p,HCN4
hsa-miR-133a-3p,FSCN1
hsa-miR-133a-3p,KCNQ1
hsa-miR-133a-3p,KCNH2
hsa-miR-133a-3p,TAGLN2
hsa-miR-133a-3p,LASP1
hsa-miR-133a-3p,PNP
hsa-miR-133a-3p,MSN
hsa-miR-133a-3p,EGFR
hsa-miR-133a-3p,VKORC1
hsa-miR-133a-3p,PRDM16
hsa-miR-133a-3p,EGFL7
hsa-miR-133a-3p,VEGFA
hsa-miR-133a-3p,PIK3R2
hsa-miR-133a-3p,RGS3
hsa-miR-133a-3p,COL1A1
hsa-miR-133a-3p,GSTP1
hsa-miR-133a-3p,SP1
hsa-miR-133a-3p,BCL2L1
hsa-miR-133a-3p,MCL1
hsa-miR-133a-3p,ARPC5
hsa-miR-133a-3p,RFFL
hsa-miR-133a-3p,CDC42
hsa-miR-133a-3p,IGF1R
hsa-miR-133a-3p,ANXA2
hsa-miR-133a-3p,SNX30
hsa-miR-133a-3p,UBA2
hsa-miR-133a-3p,SGMS2
hsa-miR-133a-3p,UCP2
hsa-miR-133a-3p,FTL
hsa-miR-133a-3p,PDLIM5
hsa-miR-133a-3p,MMP14
hsa-miR-134-5p,VEGFA
hsa-miR-134-5p,ABCC1
hsa-miR-134-5p,FOXM1
hsa-miR-134-5p,KRAS
hsa-miR-134-5p,NANOG
hsa-miR-134-5p,ITGB1
hsa-miR-134-5p,STAT5B
hsa-miR-134-5p,MAGI2
hsa-miR-134-5p,PUM2
hsa-miR-134-5p,ERBB2
hsa-miR-134-5p,ZDHHC9
hsa-miR-134-5p,OPRM1
hsa-miR-135a-5p,APC
hsa-miR-135a-5p,JAK2
hsa-miR-135a-5p,NR3C2
hsa-miR-135a-5p,HOXA10
hsa-miR-135a-5p,MYC
hsa-miR-135a-5p,SMAD5
hsa-miR-135a-5p,BMPR2
hsa-miR-135a-5p,STAT6
hsa-miR-135a-5p,MTSS1
hsa-miR-135a-5p,ROCK1
hsa-miR-135a-5p,VLDLR
hsa-miR-135a-5p,HTR1A
hsa-miR-135a-5p,SLC6A4
hsa-miR-135a-5p,SIAH1
hsa-miR-135a-5p,BCL2
hsa-miR-135a-5p,IRS2
hsa-miR-1-3p,PGM2
hsa-miR-1-3p,NETO2
hsa-miR-1-3p,SRXN1
hsa-miR-1-3p,ADAR
hsa-miR-1-3p,KIF2A
hsa-miR-1-3p,BDNF
hsa-miR-1-3p,G6PD
hsa-miR-1-3p,HSPD1
hsa-miR-1-3p,HSPA4
hsa-miR-1-3p,GJA1
hsa-miR-1-3p,KCNJ2
hsa-miR-1-3p,MET
hsa-miR-1-3p,HCN2
hsa-miR-1-3p,PIM1
hsa-miR-1-3p,FOXP1
hsa-miR-1-3p,HDAC4
hsa-miR-1-3p,HCN4
hsa-miR-1-3p,CEBPA
hsa-miR-1-3p,MEF2A
hsa-miR-1-3p,
hsa-miR-1-3p,GATA4
hsa-miR-1-3p,CNN3
hsa-miR-1-3p,LARP4
hsa-miR-1-3p,TAGLN2
hsa-miR-1-3p,ATP6V1B2
hsa-miR-1-3p,PPP2R5A
hsa-miR-1-3p,SOX6
hsa-miR-1-3p,PAX3
hsa-miR-1-3p,KCNE1
hsa-miR-1-3p,CAND1
hsa-miR-1-3p,SERP1
hsa-miR-1-3p,POGK
hsa-miR-1-3p,TWF1
hsa-miR-1-3p,TWF2
hsa-miR-1-3p,LASP1
hsa-miR-1-3p,FN1
hsa-miR-1-3p,PTMA
hsa-miR-1-3p,XPO6
hsa-miR-1-3p,NOTCH3
hsa-miR-1-3p,PNP
hsa-miR-1-3p,SLC8A1
hsa-miR-1-3p,EDN1
hsa-miR-1-3p,PRKCE
hsa-miR-1-3p,FABP3
hsa-miR-1-3p,SNAI2
hsa-miR-1-3p,SOX9
hsa-miR-1-3p,SRF
hsa-miR-1-3p,HAND2
hsa-miR-1-3p,TMSB4X
hsa-miR-1-3p,MYOCD
hsa-miR-1-3p,SP1
hsa-miR-1-3p,ETS1
hsa-miR-1-3p,ANXA2
hsa-miR-1-3p,FASN
hsa-miR-1-3p,YWHAZ
hsa-miR-1-3p,PIK3CA
hsa-miR-1-3p,ND1
hsa-miR-1-3p,COX1
hsa-miR-1-3p,FRS2
